frame,time,x,y,area,x to arena,y to arena,measure,in trakcing roi
105,3.394,992.55,233.37,6858.00,nan,nan,nan,False
106,3.425,992.44,233.35,6796.00,nan,nan,nan,False
107,3.459,992.79,232.72,5925.00,nan,nan,nan,False
108,3.493,992.88,233.42,6805.00,nan,nan,nan,False
109,3.526,992.84,233.18,6785.50,nan,nan,nan,False
110,3.559,992.64,233.30,6847.50,nan,nan,nan,False
111,3.592,992.73,233.59,6796.00,nan,nan,nan,False
112,3.626,992.09,233.23,6300.50,nan,nan,nan,False
113,3.658,992.94,233.43,6784.50,nan,nan,nan,False
114,3.691,992.65,233.29,6809.50,nan,nan,nan,False
115,3.725,992.37,233.60,6833.00,nan,nan,nan,False
116,3.763,991.89,232.88,5935.00,nan,nan,nan,False
117,3.799,991.85,232.79,6020.00,nan,nan,nan,False
118,3.829,991.32,232.66,5838.50,nan,nan,nan,False
119,3.861,991.90,233.85,6788.00,nan,nan,nan,False
120,3.897,992.65,234.34,6779.00,nan,nan,nan,False
121,3.933,992.45,234.80,6847.50,nan,nan,nan,False
122,3.965,991.19,233.06,6039.50,nan,nan,nan,False
123,3.994,992.03,233.63,5694.50,nan,nan,nan,False
124,4.027,991.61,233.54,5790.00,nan,nan,nan,False
125,4.060,990.22,235.63,5870.00,nan,nan,nan,False
126,4.094,985.99,236.97,6667.00,nan,nan,nan,False
127,4.127,985.37,234.93,6908.50,nan,nan,nan,False
128,4.160,985.25,231.69,6694.00,nan,nan,nan,False
129,4.193,982.30,230.71,6731.00,nan,nan,nan,False
130,4.226,983.51,229.14,6447.00,nan,nan,nan,False
131,4.260,983.27,228.09,6653.50,nan,nan,nan,False
132,4.292,983.15,227.44,6831.50,nan,nan,nan,False
133,4.325,984.51,228.14,6394.00,nan,nan,nan,False
134,4.359,984.68,228.36,5769.50,nan,nan,nan,False
135,4.397,984.80,228.64,5695.50,nan,nan,nan,False
136,4.432,985.59,228.71,5680.50,nan,nan,nan,False
137,4.462,985.64,228.60,5980.50,nan,nan,nan,False
138,4.492,986.04,227.88,5772.00,nan,nan,nan,False
139,4.527,985.06,228.13,5869.50,nan,nan,nan,False
140,4.562,986.32,228.93,5663.50,nan,nan,nan,False
141,4.596,986.27,228.80,5684.00,nan,nan,nan,False
142,4.631,986.12,228.68,5863.00,nan,nan,nan,False
143,4.660,986.31,228.75,5600.50,nan,nan,nan,False
144,4.690,986.02,229.15,6582.00,nan,nan,nan,False
145,4.720,985.96,229.39,6571.00,nan,nan,nan,False
146,4.749,986.11,230.01,6649.50,nan,nan,nan,False
147,4.778,987.52,230.12,5883.50,nan,nan,nan,False
148,4.814,986.98,230.72,6622.00,nan,nan,nan,False
149,4.848,988.22,230.14,6490.50,nan,nan,nan,False
150,4.877,988.00,230.23,5833.00,nan,nan,nan,False
151,4.909,987.10,231.66,6635.50,nan,nan,nan,False
152,4.941,988.47,232.60,5895.50,nan,nan,nan,False
