frame,time,x,y,area,x to arena,y to arena,measure,in trakcing roi
105,3.200,294.03,254.20,4159.50,nan,nan,nan,False
106,3.234,294.38,253.92,4182.00,nan,nan,nan,False
107,3.265,294.71,253.79,4003.50,nan,nan,nan,False
108,3.296,294.56,253.49,4181.00,nan,nan,nan,False
109,3.325,294.45,253.70,4164.50,nan,nan,nan,False
110,3.356,294.92,253.71,4196.00,nan,nan,nan,False
111,3.386,294.95,253.89,4172.50,nan,nan,nan,False
112,3.417,295.25,253.74,4032.50,nan,nan,nan,False
113,3.446,294.94,253.97,4162.00,nan,nan,nan,False
114,3.478,295.51,253.19,4149.00,nan,nan,nan,False
115,3.506,296.27,252.92,4163.00,nan,nan,nan,False
116,3.534,296.24,252.82,3953.50,nan,nan,nan,False
117,3.565,296.55,252.53,4017.00,nan,nan,nan,False
118,3.596,296.85,252.22,3961.00,nan,nan,nan,False
119,3.624,296.28,253.39,4134.00,nan,nan,nan,False
120,3.651,295.22,255.02,4160.50,nan,nan,nan,False
121,3.685,294.66,255.16,4155.50,nan,nan,nan,False
122,3.719,294.59,254.87,4007.00,nan,nan,nan,False
123,3.749,294.06,254.62,3974.50,nan,nan,nan,False
124,3.778,293.55,255.03,3963.00,nan,nan,nan,False
125,3.805,291.67,257.60,4014.50,nan,nan,nan,False
126,3.833,288.46,257.85,4155.50,nan,nan,nan,False
127,3.862,288.68,258.13,4161.00,nan,nan,nan,False
128,3.889,290.18,256.23,4128.50,nan,nan,nan,False
129,3.917,289.28,255.18,4111.00,nan,nan,nan,False
130,3.944,288.74,254.47,4174.50,nan,nan,nan,False
131,3.975,288.72,253.35,4110.00,nan,nan,nan,False
132,4.004,288.22,253.75,4152.00,nan,nan,nan,False
133,4.033,288.20,253.43,4151.00,nan,nan,nan,False
134,4.060,288.43,253.37,3945.50,nan,nan,nan,False
135,4.088,288.60,253.82,3949.50,nan,nan,nan,False
136,4.117,288.83,253.41,3922.50,nan,nan,nan,False
137,4.148,288.30,253.53,3970.50,nan,nan,nan,False
138,4.175,287.81,253.23,3955.00,nan,nan,nan,False
139,4.204,287.37,253.68,3945.00,nan,nan,nan,False
140,4.233,287.75,253.85,3954.50,nan,nan,nan,False
141,4.261,287.10,253.87,3954.00,nan,nan,nan,False
142,4.289,287.25,253.75,3980.00,nan,nan,nan,False
143,4.317,287.17,253.92,3946.00,nan,nan,nan,False
144,4.346,287.08,254.07,4134.50,nan,nan,nan,False
145,4.375,287.14,254.25,4107.00,nan,nan,nan,False
146,4.404,287.37,254.61,4081.50,nan,nan,nan,False
147,4.432,287.80,254.69,3926.50,nan,nan,nan,False
148,4.461,287.24,255.34,4116.00,nan,nan,nan,False
149,4.488,286.96,255.05,4101.00,nan,nan,nan,False
150,4.516,286.73,255.62,3936.50,nan,nan,nan,False
151,4.545,286.47,256.79,4124.50,nan,nan,nan,False
152,4.573,285.92,257.44,3921.50,nan,nan,nan,False
153,4.601,285.68,257.89,4147.00,nan,nan,nan,False
154,4.628,286.57,256.57,4138.50,nan,nan,nan,False
155,4.658,288.16,254.47,4147.50,nan,nan,nan,False
156,4.686,288.68,254.83,4137.50,nan,nan,nan,False
157,4.718,288.81,254.57,4185.00,nan,nan,nan,False
158,4.751,289.49,254.52,4140.50,nan,nan,nan,False
159,4.781,290.19,254.86,4130.00,nan,nan,nan,False
160,4.809,289.85,254.53,4145.50,nan,nan,nan,False
161,4.838,289.69,255.22,4168.50,nan,nan,nan,False
162,4.868,289.78,255.48,4200.50,nan,nan,nan,False
163,4.896,289.46,256.30,4210.00,nan,nan,nan,False
164,4.924,288.38,257.13,4194.00,nan,nan,nan,False
165,4.954,283.50,259.68,4267.00,nan,nan,nan,False
166,4.982,279.52,258.53,4230.00,nan,nan,nan,False
167,5.011,277.95,257.86,4344.00,nan,nan,nan,False
168,5.038,277.87,254.49,4259.50,nan,nan,nan,False
169,5.066,276.82,252.49,4230.00,nan,nan,nan,False
170,5.093,276.09,252.83,4233.50,nan,nan,nan,False
171,5.122,276.44,252.59,4206.50,nan,nan,nan,False
172,5.151,276.52,252.40,4011.50,nan,nan,nan,False
173,5.178,277.03,252.41,3963.00,nan,nan,nan,False
174,5.205,277.21,251.92,3984.50,nan,nan,nan,False
175,5.233,277.53,252.77,3988.00,nan,nan,nan,False
176,5.262,277.09,254.18,3996.50,nan,nan,nan,False
177,5.289,277.25,253.58,4059.50,nan,nan,nan,False
178,5.316,276.72,254.57,4056.50,nan,nan,nan,False
179,5.346,275.44,255.07,4030.50,nan,nan,nan,False
180,5.377,274.77,255.53,4127.50,nan,nan,nan,False
181,5.406,275.06,255.51,4067.50,nan,nan,nan,False
182,5.434,275.06,254.96,4129.00,nan,nan,nan,False
183,5.461,275.82,253.71,4071.00,nan,nan,nan,False
184,5.488,276.39,252.91,4080.50,nan,nan,nan,False
185,5.516,276.27,252.83,4091.50,nan,nan,nan,False
186,5.544,276.63,252.87,4099.50,nan,nan,nan,False
187,5.571,276.80,252.91,4190.50,nan,nan,nan,False
188,5.601,277.19,252.83,4160.50,nan,nan,nan,False
189,5.628,277.74,251.23,4104.50,nan,nan,nan,False
190,5.658,277.69,250.25,4132.50,nan,nan,nan,False
191,5.687,277.43,251.19,4149.00,nan,nan,nan,False
192,5.717,277.03,251.44,4185.50,nan,nan,nan,False
193,5.744,276.98,251.93,4151.50,nan,nan,nan,False
194,5.772,276.36,252.17,4134.50,nan,nan,nan,False
195,5.804,276.39,252.18,4206.50,nan,nan,nan,False
196,5.835,276.63,252.30,4211.50,nan,nan,nan,False
197,5.867,276.92,251.95,4264.00,nan,nan,nan,False
198,5.894,277.27,251.67,4192.00,nan,nan,nan,False
199,5.926,277.37,251.65,4201.50,nan,nan,nan,False
200,5.954,277.38,251.82,4255.50,nan,nan,nan,False
201,5.983,277.68,252.02,4255.00,nan,nan,nan,False
202,6.014,277.63,251.67,4283.00,nan,nan,nan,False
203,6.043,277.31,251.74,4236.00,nan,nan,nan,False
204,6.070,277.67,252.06,4222.00,nan,nan,nan,False
205,6.101,277.63,252.25,4228.00,nan,nan,nan,False
206,6.128,277.69,251.97,4298.00,nan,nan,nan,False
207,6.155,277.55,251.93,4324.00,nan,nan,nan,False
208,6.185,277.72,252.03,4278.50,nan,nan,nan,False
209,6.216,278.33,252.25,4243.00,nan,nan,nan,False
210,6.243,277.98,252.32,4258.50,nan,nan,nan,False
211,6.271,278.36,252.16,4251.00,nan,nan,nan,False
212,6.301,278.48,251.90,4301.00,nan,nan,nan,False
213,6.331,278.76,251.91,4265.00,nan,nan,nan,False
214,6.360,279.11,252.15,4317.50,nan,nan,nan,False
215,6.387,279.13,252.22,4330.50,nan,nan,nan,False
216,6.415,279.51,251.91,4316.50,nan,nan,nan,False
217,6.442,279.23,252.11,4329.00,nan,nan,nan,False
218,6.469,279.27,252.02,4307.00,nan,nan,nan,False
219,6.497,279.51,252.45,4315.00,nan,nan,nan,False
220,6.524,279.43,252.38,4297.00,nan,nan,nan,False
221,6.554,279.60,252.24,4303.50,nan,nan,nan,False
222,6.584,279.61,252.35,4366.50,nan,nan,nan,False
223,6.615,279.60,252.23,4305.00,nan,nan,nan,False
224,6.645,279.71,252.39,4298.50,nan,nan,nan,False
225,6.675,279.94,252.51,4340.00,nan,nan,nan,False
226,6.706,279.66,252.73,4322.00,nan,nan,nan,False
227,6.735,279.64,252.60,4342.00,nan,nan,nan,False
228,6.763,279.76,252.67,4341.50,nan,nan,nan,False
229,6.791,279.88,252.37,4307.50,nan,nan,nan,False
230,6.818,280.03,252.32,4353.50,nan,nan,nan,False
231,6.849,279.95,252.23,4371.00,nan,nan,nan,False
232,6.883,280.15,252.30,4370.00,nan,nan,nan,False
233,6.916,280.43,252.31,4329.00,nan,nan,nan,False
234,6.948,280.67,252.49,4314.00,nan,nan,nan,False
235,6.980,280.30,252.32,4356.00,nan,nan,nan,False
236,7.013,280.42,252.44,4353.50,nan,nan,nan,False
237,7.045,280.50,251.87,4349.00,nan,nan,nan,False
238,7.075,280.56,252.18,4314.00,nan,nan,nan,False
239,7.108,280.43,252.32,4342.50,nan,nan,nan,False
240,7.140,280.47,252.24,4368.50,nan,nan,nan,False
241,7.169,280.34,252.27,4335.50,nan,nan,nan,False
242,7.201,280.41,252.25,4389.00,nan,nan,nan,False
243,7.233,280.68,252.69,4351.50,nan,nan,nan,False
244,7.264,280.47,252.24,4348.50,nan,nan,nan,False
245,7.294,280.61,252.44,4350.00,nan,nan,nan,False
246,7.323,280.32,252.31,4370.00,nan,nan,nan,False
247,7.351,280.48,252.34,4420.00,nan,nan,nan,False
248,7.383,280.34,252.60,4347.00,nan,nan,nan,False
249,7.418,280.45,252.45,4326.50,nan,nan,nan,False
250,7.448,280.08,252.74,4325.00,nan,nan,nan,False
251,7.477,280.40,252.28,4326.00,nan,nan,nan,False
252,7.506,280.39,252.78,4432.50,nan,nan,nan,False
253,7.535,280.46,252.62,4374.50,nan,nan,nan,False
254,7.567,280.61,252.37,4344.50,nan,nan,nan,False
255,7.599,280.84,252.47,4368.50,nan,nan,nan,False
256,7.629,280.37,252.72,4385.50,nan,nan,nan,False
257,7.661,280.51,252.72,4415.50,nan,nan,nan,False
258,7.694,280.48,253.17,4362.00,nan,nan,nan,False
259,7.729,280.63,252.95,4321.50,nan,nan,nan,False
260,7.756,280.56,253.25,4347.50,nan,nan,nan,False
261,7.788,280.49,253.21,4341.50,nan,nan,nan,False
262,7.822,280.49,253.18,4400.00,nan,nan,nan,False
263,7.853,280.60,253.39,4370.00,nan,nan,nan,False
264,7.886,280.83,253.36,4374.50,nan,nan,nan,False
265,7.919,280.60,253.54,4329.50,nan,nan,nan,False
266,7.951,280.81,253.44,4348.50,nan,nan,nan,False
267,7.980,280.57,253.67,4412.00,nan,nan,nan,False
268,8.008,281.23,253.74,4381.50,nan,nan,nan,False
269,8.035,280.41,253.37,4342.50,nan,nan,nan,False
270,8.063,281.01,254.11,4363.00,nan,nan,nan,False
271,8.093,280.55,253.79,4393.00,nan,nan,nan,False
272,8.121,280.90,253.69,4405.00,nan,nan,nan,False
273,8.151,281.37,254.25,4370.00,nan,nan,nan,False
274,8.180,281.15,253.88,4317.50,nan,nan,nan,False
275,8.208,280.94,253.79,4339.50,nan,nan,nan,False
276,8.237,280.98,253.75,4373.50,nan,nan,nan,False
277,8.269,281.03,253.86,4398.00,nan,nan,nan,False
278,8.296,281.12,253.80,4428.50,nan,nan,nan,False
279,8.325,281.05,253.53,4338.50,nan,nan,nan,False
280,8.353,281.50,253.84,4388.50,nan,nan,nan,False
281,8.381,281.28,253.47,4373.00,nan,nan,nan,False
282,8.409,281.78,253.75,4383.50,nan,nan,nan,False
283,8.437,281.77,253.19,4325.50,nan,nan,nan,False
284,8.465,281.37,253.85,4379.00,nan,nan,nan,False
285,8.495,281.80,253.24,4339.00,nan,nan,nan,False
286,8.523,281.99,253.35,4336.00,nan,nan,nan,False
287,8.551,281.95,252.98,4373.00,nan,nan,nan,False
288,8.578,282.26,252.99,4341.00,nan,nan,nan,False
289,8.606,282.64,252.91,4288.50,nan,nan,nan,False
290,8.637,282.56,252.98,4300.00,nan,nan,nan,False
291,8.669,282.74,252.92,4311.50,nan,nan,nan,False
292,8.696,282.90,253.40,4371.00,nan,nan,nan,False
293,8.724,283.10,253.53,4306.50,nan,nan,nan,False
294,8.753,283.05,253.45,4278.00,nan,nan,nan,False
295,8.781,283.21,253.53,4299.00,nan,nan,nan,False
296,8.809,283.36,253.40,4310.00,nan,nan,nan,False
297,8.837,283.13,253.42,4385.00,nan,nan,nan,False
298,8.867,283.37,253.80,4257.00,nan,nan,nan,False
299,8.896,283.43,253.30,4489.00,nan,nan,nan,False
300,8.923,283.44,253.64,4299.50,nan,nan,nan,False
301,8.952,283.30,253.57,4312.00,nan,nan,nan,False
302,8.980,283.30,253.67,4353.50,nan,nan,nan,False
303,9.010,283.47,253.54,4300.50,nan,nan,nan,False
304,9.038,283.33,253.74,4299.50,nan,nan,nan,False
305,9.069,283.27,254.05,4321.00,nan,nan,nan,False
306,9.097,283.31,253.92,4304.00,nan,nan,nan,False
307,9.124,282.98,254.05,4361.50,nan,nan,nan,False
308,9.154,283.24,254.23,4340.00,nan,nan,nan,False
309,9.185,283.33,253.68,4303.00,nan,nan,nan,False
310,9.213,283.07,254.25,4318.00,nan,nan,nan,False
311,9.241,283.22,254.31,4283.00,nan,nan,nan,False
312,9.269,282.90,254.28,4354.50,nan,nan,nan,False
313,9.298,282.96,254.59,4327.50,nan,nan,nan,False
314,9.331,283.10,254.73,4273.50,nan,nan,nan,False
315,9.358,282.97,255.21,4321.00,nan,nan,nan,False
316,9.390,282.77,255.09,4531.00,nan,nan,nan,False
317,9.419,282.81,255.01,4342.50,nan,nan,nan,False
318,9.446,282.89,254.88,4264.00,nan,nan,nan,False
319,9.479,283.05,254.58,4473.50,nan,nan,nan,False
320,9.508,282.87,254.86,4328.50,nan,nan,nan,False
321,9.539,283.08,254.77,4319.50,nan,nan,nan,False
322,9.568,282.97,254.71,4345.00,nan,nan,nan,False
323,9.597,283.08,254.52,4289.00,nan,nan,nan,False
324,9.624,282.84,255.00,4473.00,nan,nan,nan,False
325,9.653,283.11,254.67,4300.50,nan,nan,nan,False
326,9.685,283.04,254.90,4301.00,nan,nan,nan,False
327,9.717,282.92,254.85,4329.50,nan,nan,nan,False
328,9.746,282.71,255.11,4311.50,nan,nan,nan,False
329,9.773,282.49,254.75,4287.00,nan,nan,nan,False
330,9.800,282.47,254.97,4319.50,nan,nan,nan,False
331,9.833,282.34,254.97,4261.00,nan,nan,nan,False
332,9.863,282.48,254.84,4309.50,nan,nan,nan,False
333,9.893,282.46,254.84,4263.00,nan,nan,nan,False
334,9.921,282.43,255.06,4266.00,nan,nan,nan,False
335,9.954,282.52,255.32,4251.50,nan,nan,nan,False
336,9.982,281.84,255.29,4499.00,nan,nan,nan,False
